resource,category,figures,year,quarter,date_published,date_processed,filename
crude oil & ngls,import,10350.26,1999,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1478.38,1999,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,24225.48,1999,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,23590.02,1999,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,635.45,1999,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,-427.93,1999,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,-207.64,1999,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,21282.27,1999,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,-269.16,1999,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,21551.43,1999,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,21474.62,1999,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,21474.62,1999,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,76.81,1999,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,76.81,1999,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,35341.42,1999,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,32932.35,1999,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,2409.07,1999,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,1999,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,12063.8,1999,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,10635.45,1999,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1428.35,1999,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,25486.88,1999,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,24682.97,1999,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,803.92,1999,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,-468.72,1999,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,-167.53,1999,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,21282.08,1999,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,-923.72,1999,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,22205.8,1999,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,22124.44,1999,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,22124.44,1999,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,81.36,1999,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,81.36,1999,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,34217.37,2000,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,31815.8,2000,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,2401.57,2000,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2000,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,13161.13,2000,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,11813.79,2000,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1347.34,2000,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,24609.94,2000,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,23952.26,2000,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,657.68,2000,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,5.83,2000,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,-76.22,2000,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,22698.17,2000,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,391.0,2000,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,22307.17,2000,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,22225.17,2000,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,22225.17,2000,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,82.0,2000,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,82.0,2000,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,30802.13,2000,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,28759.57,2000,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,2042.56,2000,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2000,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,13623.23,2000,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,11981.42,2000,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1641.81,2000,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,23894.54,2000,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,23224.01,2000,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,670.53,2000,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,850.66,2000,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,48.68,2000,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,21430.16,2000,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,-167.68,2000,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,21597.85,2000,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,21522.85,2000,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,21522.85,2000,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,75.0,2000,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,75.0,2000,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,30427.07,2000,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,28539.06,2000,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,1888.01,2000,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2000,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,14267.78,2000,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,12900.9,2000,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1366.89,2000,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,22303.95,2000,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,21607.51,2000,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,696.45,2000,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,-264.86,2000,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,-26.36,2000,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,22099.67,2000,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,186.46,2000,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,21913.21,2000,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,21845.21,2000,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,21845.21,2000,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,68.0,2000,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,68.0,2000,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,30798.43,2000,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,28768.06,2000,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,2030.37,2000,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2000,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,13334.15,2000,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,12171.58,2000,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1162.57,2000,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,22108.75,2000,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,21297.59,2000,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,811.16,2000,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,506.39,2000,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,163.49,2000,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,22693.7,2000,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,204.67,2000,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,22489.03,2000,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,22420.03,2000,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,22420.03,2000,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,69.0,2000,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,69.0,2000,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,29196.34,2001,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,27027.79,2001,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,2168.55,2001,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2001,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,12485.16,2001,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,11638.03,2001,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,847.14,2001,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,20832.07,2001,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,20110.32,2001,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,721.75,2001,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,-628.05,2001,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,655.33,2001,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,20876.72,2001,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,199.8,2001,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,20676.92,2001,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,20676.92,2001,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,20676.92,2001,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,0.0,2001,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,0.0,2001,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,28340.07,2001,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,26324.55,2001,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,2015.53,2001,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2001,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,11532.77,2001,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,10597.78,2001,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,934.99,2001,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,22302.89,2001,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,21644.5,2001,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,658.39,2001,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,674.24,2001,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,78.98,2001,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,18323.17,2001,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,260.94,2001,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,18062.23,2001,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,18062.23,2001,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,18062.23,2001,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,0.0,2001,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,0.0,2001,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,28328.32,2001,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,26405.8,2001,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,1922.52,2001,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2001,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,14419.66,2001,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,12922.38,2001,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1497.28,2001,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,20889.8,2001,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,20386.36,2001,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,503.44,2001,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,139.78,2001,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,8.72,2001,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,22006.67,2001,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,-66.95,2001,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,22073.61,2001,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,22073.61,2001,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,22073.61,2001,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,0.0,2001,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,0.0,2001,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,30813.65,2001,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,28628.42,2001,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,2185.23,2001,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2001,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,15113.84,2001,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,13834.09,2001,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1279.76,2001,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,22904.98,2001,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,22299.56,2001,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,605.42,2001,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,-800.3,2001,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,9.65,2001,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,22231.87,2001,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,-298.2,2001,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,22530.07,2001,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,22530.07,2001,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,22530.07,2001,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,0.0,2001,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,0.0,2001,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,29652.43,2002,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,27460.58,2002,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,2191.85,2002,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2002,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,13947.62,2002,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,13091.31,2002,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,856.31,2002,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,22465.06,2002,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,22074.49,2002,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,390.56,2002,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,389.16,2002,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,-427.3,2002,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,21096.85,2002,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,-38.76,2002,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,21135.61,2002,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,21135.61,2002,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,21135.61,2002,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,0.0,2002,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,0.0,2002,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,29527.45,2002,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,27490.19,2002,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,2037.25,2002,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2002,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,17235.98,2002,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
